,Well.Row,Well.Col,Content,absorbance,Concentration,units,standard_con,dilution,absorbance_zero_adjust,standard_range_indicator,best_sample_dilution
42,D,6,sample2,1.1635,n.a.,pg/ml,NA,400000,0.6943,1,1
43,D,7,sample3,1.1456,n.a.,pg/ml,NA,400000,0.6764,1,1
44,D,8,sample3,1.1473,n.a.,pg/ml,NA,400000,0.6781,1,1
45,D,9,sample4,1.8428,n.a.,pg/ml,NA,400000,1.3736,1,1
46,D,10,sample4,1.7839,n.a.,pg/ml,NA,400000,1.3147,1,1
47,D,11,empty,0.0051,n.a.,pg/ml,NA,NA,-0.4641,0,
48,D,12,empty,0.0063,n.a.,pg/ml,NA,NA,-0.4629,0,
49,E,1,standard,0.7408,n.a.,pg/ml,93.8,NA,0.2716,1,
50,E,2,standard_rep,0.8074,n.a.,pg/ml,93.8,NA,0.3382,1,
51,E,3,empty,0.0061,n.a.,pg/ml,NA,NA,-0.4631,0,
52,E,4,empty,0.006,n.a.,pg/ml,NA,NA,-0.4632,0,
53,E,5,empty,0.0063,n.a.,pg/ml,NA,NA,-0.4629,0,
54,E,6,empty,0.0075,n.a.,pg/ml,NA,NA,-0.4617,0,
55,E,7,empty,0.006,n.a.,pg/ml,NA,NA,-0.4632,0,
56,E,8,empty,0.0047,n.a.,pg/ml,NA,NA,-0.4645,0,
57,E,9,empty,0.0075,n.a.,pg/ml,NA,NA,-0.4617,0,
58,E,10,empty,0.0078,n.a.,pg/ml,NA,NA,-0.4614,0,
59,E,11,empty,0.0081,n.a.,pg/ml,NA,NA,-0.4611,0,
60,E,12,empty,0.0058,n.a.,pg/ml,NA,NA,-0.4634,0,
61,F,1,standard,0.7185,n.a.,pg/ml,46.9,NA,0.2493,1,
62,F,2,standard_rep,0.7114,n.a.,pg/ml,46.9,NA,0.2422,1,
63,F,3,empty,0.0057,n.a.,pg/ml,NA,NA,-0.4635,0,
64,F,4,empty,0.0059,n.a.,pg/ml,NA,NA,-0.4633,0,
65,F,5,empty,0.0066,n.a.,pg/ml,NA,NA,-0.4626,0,
66,F,6,empty,0.0069,n.a.,pg/ml,NA,NA,-0.4623,0,
67,F,7,empty,0.0067,n.a.,pg/ml,NA,NA,-0.4625,0,
68,F,8,empty,0.0058,n.a.,pg/ml,NA,NA,-0.4634,0,
69,F,9,empty,0.0061,n.a.,pg/ml,NA,NA,-0.4631,0,
70,F,10,empty,0.0108,n.a.,pg/ml,NA,NA,-0.4584,0,
71,F,11,empty,0.0074,n.a.,pg/ml,NA,NA,-0.4618,0,
72,F,12,empty,0.0074,n.a.,pg/ml,NA,NA,-0.4618,0,
73,G,1,standard,0.6304,n.a.,pg/ml,23.4,NA,0.1612,1,
74,G,2,standard_rep,0.6135,n.a.,pg/ml,23.4,NA,0.1443,1,
75,G,3,empty,0.0053,n.a.,pg/ml,NA,NA,-0.4639,0,
76,G,4,empty,0.0059,n.a.,pg/ml,NA,NA,-0.4633,0,
77,G,5,empty,0.007,n.a.,pg/ml,NA,NA,-0.4622,0,
78,G,6,empty,0.0065,n.a.,pg/ml,NA,NA,-0.4627,0,
79,G,7,empty,0.0061,n.a.,pg/ml,NA,NA,-0.4631,0,
80,G,8,empty,0.0063,n.a.,pg/ml,NA,NA,-0.4629,0,
81,G,9,empty,0.0062,n.a.,pg/ml,NA,NA,-0.463,0,
82,G,10,empty,0.0063,n.a.,pg/ml,NA,NA,-0.4629,0,
83,G,11,empty,0.0074,n.a.,pg/ml,NA,NA,-0.4618,0,
84,G,12,empty,0.0066,n.a.,pg/ml,NA,NA,-0.4626,0,
85,H,1,standard,0.4595,n.a.,pg/ml,0,NA,-0.0097,1,
86,H,2,standard_rep,0.4789,n.a.,pg/ml,0,NA,0.0097,1,
87,H,3,empty,0.0062,n.a.,pg/ml,NA,NA,-0.463,0,
88,H,4,empty,0.0063,n.a.,pg/ml,NA,NA,-0.4629,0,
89,H,5,empty,0.0066,n.a.,pg/ml,NA,NA,-0.4626,0,
90,H,6,empty,0.0063,n.a.,pg/ml,NA,NA,-0.4629,0,
91,H,7,empty,0.0064,n.a.,pg/ml,NA,NA,-0.4628,0,
92,H,8,empty,0.0065,n.a.,pg/ml,NA,NA,-0.4627,0,
93,H,9,empty,0.0057,n.a.,pg/ml,NA,NA,-0.4635,0,
94,H,10,empty,0.0071,n.a.,pg/ml,NA,NA,-0.4621,0,
95,H,11,empty,0.0073,n.a.,pg/ml,NA,NA,-0.4619,0,
96,H,12,empty,0.0143,n.a.,pg/ml,NA,NA,-0.4549,0,
