,Well.Row,Well.Col,Content,absorbance,Concentration,units,standard_con,dilution,absorbance_zero_adjust,standard_range_indicator,best_sample_dilution
47,D,11,empty,0.0059,n.a.,ng/ml,NA,NA,-0.14615,0,
48,D,12,empty,0.0067,n.a.,ng/ml,NA,NA,-0.14535,0,
49,E,1,standard,0.6379,n.a.,ng/ml,2.5,NA,0.48585,1,
50,E,2,standard_rep,0.6783,n.a.,ng/ml,2.5,NA,0.52625,1,
51,E,3,empty,0.0039,n.a.,ng/ml,NA,NA,-0.14815,0,
52,E,4,empty,0.0064,n.a.,ng/ml,NA,NA,-0.14565,0,
53,E,5,empty,0.0066,n.a.,ng/ml,NA,NA,-0.14545,0,
54,E,6,empty,0.0059,n.a.,ng/ml,NA,NA,-0.14615,0,
55,E,7,empty,0.0059,n.a.,ng/ml,NA,NA,-0.14615,0,
56,E,8,empty,0.0073,n.a.,ng/ml,NA,NA,-0.14475,0,
57,E,9,empty,0.0071,n.a.,ng/ml,NA,NA,-0.14495,0,
58,E,10,empty,0.0055,n.a.,ng/ml,NA,NA,-0.14655,0,
59,E,11,empty,0.0067,n.a.,ng/ml,NA,NA,-0.14535,0,
60,E,12,empty,0.0062,n.a.,ng/ml,NA,NA,-0.14585,0,
61,F,1,standard,0.4428,n.a.,ng/ml,1.25,NA,0.29075,1,
62,F,2,standard_rep,0.4962,n.a.,ng/ml,1.25,NA,0.34415,1,
63,F,3,empty,0.0065,n.a.,ng/ml,NA,NA,-0.14555,0,
64,F,4,empty,0.0069,n.a.,ng/ml,NA,NA,-0.14515,0,
65,F,5,empty,0.0063,n.a.,ng/ml,NA,NA,-0.14575,0,
66,F,6,empty,0.0061,n.a.,ng/ml,NA,NA,-0.14595,0,
67,F,7,empty,0.0062,n.a.,ng/ml,NA,NA,-0.14585,0,
68,F,8,empty,0.0064,n.a.,ng/ml,NA,NA,-0.14565,0,
69,F,9,empty,0.0064,n.a.,ng/ml,NA,NA,-0.14565,0,
70,F,10,empty,0.0096,n.a.,ng/ml,NA,NA,-0.14245,0,
71,F,11,empty,0.0066,n.a.,ng/ml,NA,NA,-0.14545,0,
72,F,12,empty,0.0064,n.a.,ng/ml,NA,NA,-0.14565,0,
73,G,1,standard,0.3105,n.a.,ng/ml,0.625,NA,0.15845,1,
74,G,2,standard_rep,0.3441,n.a.,ng/ml,0.625,NA,0.19205,1,
75,G,3,empty,0.0058,n.a.,ng/ml,NA,NA,-0.14625,0,
76,G,4,empty,0.0062,n.a.,ng/ml,NA,NA,-0.14585,0,
77,G,5,empty,0.0058,n.a.,ng/ml,NA,NA,-0.14625,0,
78,G,6,empty,0.006,n.a.,ng/ml,NA,NA,-0.14605,0,
79,G,7,empty,0.0069,n.a.,ng/ml,NA,NA,-0.14515,0,
80,G,8,empty,0.0063,n.a.,ng/ml,NA,NA,-0.14575,0,
81,G,9,empty,0.0057,n.a.,ng/ml,NA,NA,-0.14635,0,
82,G,10,empty,0.005,n.a.,ng/ml,NA,NA,-0.14705,0,
83,G,11,empty,0.0059,n.a.,ng/ml,NA,NA,-0.14615,0,
84,G,12,empty,0.0062,n.a.,ng/ml,NA,NA,-0.14585,0,
85,H,1,standard,0.1521,n.a.,ng/ml,0,NA,4.99999999999945E-05,1,
86,H,2,standard_rep,0.152,n.a.,ng/ml,0,NA,-5.00000000000222E-05,1,
87,H,3,empty,0.0047,n.a.,ng/ml,NA,NA,-0.14735,0,
88,H,4,empty,0.0067,n.a.,ng/ml,NA,NA,-0.14535,0,
89,H,5,empty,0.0074,n.a.,ng/ml,NA,NA,-0.14465,0,
90,H,6,empty,0.0096,n.a.,ng/ml,NA,NA,-0.14245,0,
91,H,7,empty,0.0076,n.a.,ng/ml,NA,NA,-0.14445,0,
92,H,8,empty,0.0067,n.a.,ng/ml,NA,NA,-0.14535,0,
93,H,9,empty,0.0053,n.a.,ng/ml,NA,NA,-0.14675,0,
94,H,10,empty,0.0059,n.a.,ng/ml,NA,NA,-0.14615,0,
95,H,11,empty,0.0062,n.a.,ng/ml,NA,NA,-0.14585,0,
96,H,12,empty,0.0069,n.a.,ng/ml,NA,NA,-0.14515,0,
