"","Well.Row","Well.Col","Content","absorbance","Concentration","Raw.Data..450.1.","units","standard_con","dilution","absorbance_zero_adjust","standard_range_indicator"
"28","C",4,"sample1_spike_control",0.143,"n.a.",0.1805,"ng/ml",NA,4,0.0981,1
"29","C",5,"sample1_unspiked_sample",0.6948,"n.a.",0.7333,"ng/ml",NA,4,0.6499,1
"30","C",6,"sample2_spike_sample",1.3623,"n.a.",1.4105,"ng/ml",NA,4,1.3174,1
"31","C",7,"sample2_spike_control",0.1391,"n.a.",0.1701,"ng/ml",NA,4,0.0942,1
"32","C",8,"sample2_unspiked_sample",0.3583,"n.a.",0.4051,"ng/ml",NA,4,0.3134,1
"33","C",9,"empty",0.0068,"n.a.",0.0379,"ng/ml",NA,NA,-0.0381,0
"34","C",10,"empty",0.0067,"n.a.",0.0441,"ng/ml",NA,NA,-0.0382,0
"35","C",11,"empty",0.0058,"n.a.",0.0479,"ng/ml",NA,NA,-0.0391,0
"36","C",12,"empty",0.0067,"n.a.",0.0556,"ng/ml",NA,NA,-0.0382,0
"37","D",1,"standard",1.5319,"n.a.",1.5882,"ng/ml",12.5,NA,1.487,1
"38","D",2,"standard_rep",1.5402,"n.a.",1.5966,"ng/ml",12.5,NA,1.4953,1
"39","D",3,"sample1_spike_sample",1.3019,"n.a.",1.3496,"ng/ml",NA,8,1.257,1
"40","D",4,"sample1_spike_control",0.0953,"n.a.",0.1259,"ng/ml",NA,8,0.0504,1
"41","D",5,"sample1_unspiked_sample",0.403,"n.a.",0.4364,"ng/ml",NA,8,0.3581,1
"42","D",6,"sample2_spike_sample",0.7689,"n.a.",0.8079,"ng/ml",NA,8,0.724,1
"43","D",7,"sample2_spike_control",0.0901,"n.a.",0.1201,"ng/ml",NA,8,0.0452,1
"44","D",8,"sample2_unspiked_sample",0.2328,"n.a.",0.27,"ng/ml",NA,8,0.1879,1
"45","D",9,"empty",0.009,"n.a.",0.0948,"ng/ml",NA,NA,-0.0359,0
"46","D",10,"empty",0.0069,"n.a.",0.0535,"ng/ml",NA,NA,-0.038,0
"47","D",11,"empty",0.006,"n.a.",0.0549,"ng/ml",NA,NA,-0.0389,0
"48","D",12,"empty",0.0066,"n.a.",0.0544,"ng/ml",NA,NA,-0.0383,0
"49","E",1,"standard",1.2663,"n.a.",1.3146,"ng/ml",6.25,NA,1.2214,1
"50","E",2,"standard_rep",1.1956,"n.a.",1.2406,"ng/ml",6.25,NA,1.1507,1
"51","E",3,"sample1_spike_sample_rep",2.5518,"n.a.",2.6217,"ng/ml",NA,1,2.5069,0
"52","E",4,"sample1_spike_control_rep",2.3004,"n.a.",2.3688,"ng/ml",NA,1,2.2555,1
"53","E",5,"sample1_unspiked_sample_rep",0.57,"n.a.",0.6065,"ng/ml",NA,1,0.5251,1
"54","E",6,"sample2_spike_sample_rep",2.446,"n.a.",2.5093,"ng/ml",NA,1,2.4011,0
"55","E",7,"sample2_spike_control_rep",0.8756,"n.a.",0.9215,"ng/ml",NA,1,0.8307,1
"56","E",8,"sample2_unspiked_sample_rep",0.7213,"n.a.",0.774,"ng/ml",NA,1,0.6764,1
"57","E",9,"empty",0.0089,"n.a.",0.0561,"ng/ml",NA,NA,-0.036,0
"58","E",10,"empty",0.0078,"n.a.",0.0628,"ng/ml",NA,NA,-0.0371,0
"59","E",11,"empty",0.0056,"n.a.",0.0511,"ng/ml",NA,NA,-0.0393,0
"60","E",12,"empty",0.0071,"n.a.",0.0558,"ng/ml",NA,NA,-0.0378,0
"61","F",1,"standard",0.7745,"n.a.",0.8154,"ng/ml",3.13,NA,0.7296,1
"62","F",2,"standard_rep",0.8383,"n.a.",0.9132,"ng/ml",3.13,NA,0.7934,1
"63","F",3,"sample1_spike_sample_rep",2.3307,"n.a.",2.3973,"ng/ml",NA,2,2.2858,1
"64","F",4,"sample1_spike_control_rep",0.2755,"n.a.",0.3063,"ng/ml",NA,2,0.2306,1
"65","F",5,"sample1_unspiked_sample_rep",1.0619,"n.a.",1.104,"ng/ml",NA,2,1.017,1
"66","F",6,"sample2_spike_sample_rep",2.1234,"n.a.",2.1974,"ng/ml",NA,2,2.0785,1
"67","F",7,"sample2_spike_control_rep",0.2569,"n.a.",0.2941,"ng/ml",NA,2,0.212,1
"68","F",8,"sample2_unspiked_sample_rep",0.9928,"n.a.",1.0337,"ng/ml",NA,2,0.9479,1
"69","F",9,"empty",0.0073,"n.a.",0.0446,"ng/ml",NA,NA,-0.0376,0
"70","F",10,"empty",0.0067,"n.a.",0.0413,"ng/ml",NA,NA,-0.0382,0
"71","F",11,"empty",0.0056,"n.a.",0.0432,"ng/ml",NA,NA,-0.0393,0
"72","F",12,"empty",0.0051,"n.a.",0.0508,"ng/ml",NA,NA,-0.0398,0
"73","G",1,"standard",0.4246,"n.a.",0.4595,"ng/ml",1.56,NA,0.3797,1
"74","G",2,"standard_rep",0.426,"n.a.",0.4632,"ng/ml",1.56,NA,0.3811,1
"75","G",3,"sample1_spike_sample_rep",1.8043,"n.a.",1.8613,"ng/ml",NA,4,1.7594,1
"76","G",4,"sample1_spike_control_rep",0.1402,"n.a.",0.1761,"ng/ml",NA,4,0.0953,1
"77","G",5,"sample1_unspiked_sample_rep",0.625,"n.a.",0.6654,"ng/ml",NA,4,0.5801,1
"78","G",6,"sample2_spike_sample_rep",1.3733,"n.a.",1.4212,"ng/ml",NA,4,1.3284,1
"79","G",7,"sample2_spike_control_rep",0.1301,"n.a.",0.1747,"ng/ml",NA,4,0.0852,1
"80","G",8,"sample2_unspiked_sample_rep",0.566,"n.a.",0.6081,"ng/ml",NA,4,0.5211,1
"81","G",9,"empty",0.007,"n.a.",0.0406,"ng/ml",NA,NA,-0.0379,0
"82","G",10,"empty",0.0069,"n.a.",0.0404,"ng/ml",NA,NA,-0.038,0
"83","G",11,"empty",0.005,"n.a.",0.0444,"ng/ml",NA,NA,-0.0399,0
"84","G",12,"empty",0.0069,"n.a.",0.0636,"ng/ml",NA,NA,-0.038,0
"85","H",1,"standard",0.0471,"n.a.",0.0795,"ng/ml",0,NA,0.0022,1
"86","H",2,"standard_rep",0.0427,"n.a.",0.0749,"ng/ml",0,NA,-0.0022,1
"87","H",3,"sample1_spike_sample_rep",1.1393,"n.a.",1.1811,"ng/ml",NA,8,1.0944,1
"88","H",4,"sample1_spike_control_rep",0.0823,"n.a.",0.114,"ng/ml",NA,8,0.0374,1
"89","H",5,"sample1_unspiked_sample_rep",0.4462,"n.a.",0.4851,"ng/ml",NA,8,0.4013,1
"90","H",6,"sample2_spike_sample_rep",0.7175,"n.a.",0.789,"ng/ml",NA,8,0.6726,1
"91","H",7,"sample2_spike_control_rep",0.0773,"n.a.",0.1076,"ng/ml",NA,8,0.0324,1
"92","H",8,"sample2_unspiked_sample_rep",0.3253,"n.a.",0.3974,"ng/ml",NA,8,0.2804,1
"93","H",9,"empty",0.0088,"n.a.",0.0875,"ng/ml",NA,NA,-0.0361,0
"94","H",10,"empty",0.0069,"n.a.",0.0488,"ng/ml",NA,NA,-0.038,0
"95","H",11,"empty",0.0062,"n.a.",0.0612,"ng/ml",NA,NA,-0.0387,0
"96","H",12,"empty",0.006,"n.a.",0.0533,"ng/ml",NA,NA,-0.0389,0
