# Protein abundances computed from file '/tmp/knime_Identification_62243/fs-IDCon_0-231-62257/000/000/IDConflictResolver_0/filefilter_run1.consensusXML'
# Parameters (relevant only): top=3, average=median
# Files/samples associated with abundance values below: 1: '/home/mateus/proteomic_data/filefilter_run1.mzML' ('itraq4plex_114'), 2: '/home/mateus/proteomic_data/filefilter_run1.mzML' ('itraq4plex_115'), 3: '/home/mateus/proteomic_data/filefilter_run1.mzML' ('itraq4plex_116'), 4: '/home/mateus/proteomic_data/filefilter_run1.mzML' ('itraq4plex_117'), 5: '/home/mateus/proteomic_data/filefilter_run2.mzML' ('itraq4plex_114'), 6: '/home/mateus/proteomic_data/filefilter_run2.mzML' ('itraq4plex_115'), 7: '/home/mateus/proteomic_data/filefilter_run2.mzML' ('itraq4plex_116'), 8: '/home/mateus/proteomic_data/filefilter_run2.mzML' ('itraq4plex_117')
"protein"	"n_proteins"	"protein_score"	"n_peptides"	"abundance_1"	"abundance_2"	"abundance_3"	"abundance_4"	"abundance_5"	"abundance_6"	"abundance_7"	"abundance_8"
"sp|P02751|FINC_HUMAN"	1	0.999659296424968	42	666.217994689941406	544.93499755859375	808.672367095947266	678.058151245117188	578.750007629394531	863.803623199462891	1381.358844757080078	624.08526611328125
"sp|P02753|RET4_HUMAN/tr|Q5VY30|Q5VY30_HUMAN"	2	0.999980559485143	6	368.461751937866211	373.909431457519531	269.623376846313477	279.744424819946289	7.750185012817383	132.638401508331299	61.476371765136719	22.733240127563477
"sp|P02763|A1AG1_HUMAN"	1	0.999676065754295	8	941.144768238067627	1099.237316131591797	1079.202455520629883	506.517547607421875	156.013524293899536	587.387179374694824	384.842811584472656	120.424684524536133
"sp|P02765|FETUA_HUMAN/tr|C9JV77|C9JV77_HUMAN"	2	0.998080432450483	4	40.23272705078125	59.089359283447266	17.763505935668945	0.0	0.0	0.0	0.0	0.0
"sp|P02774|VTDB_HUMAN/tr|D6RF35|D6RF35_HUMAN"	2	0.999992442435646	10	227.483027458190918	394.703464031219482	334.987289428710938	298.081377983093262	67.624505996704102	247.192440032958984	162.418918609619141	199.426200866699219
"sp|P02787|TRFE_HUMAN"	1	1.0	37	2645.371847152709961	3700.802500724792481	3217.263335227966309	3995.421015739440918	1271.515611171722412	2165.562460899353027	2533.468877792358398	1685.926973521709442
"sp|P02790|HEMO_HUMAN"	1	0.997134320694605	13	1203.246376037597656	1970.309329986572266	1599.2510986328125	2405.772506713867188	1240.987251281738281	1592.459125518798828	2666.458876609802246	1393.681352615356445
"sp|P03952|KLKB1_HUMAN/tr|H0YAC1|H0YAC1_HUMAN"	2	0.981166523370963	3	0.0	5.707297801971436	21.868101119995117	26.393596649169922	0.0	0.0	0.0	0.0
"sp|P04003|C4BPA_HUMAN"	1	0.999987452148432	10	130.437446594238281	41.196449279785156	147.876922607421875	224.402679443359375	117.129270553588867	276.24958610534668	420.758678436279297	143.795642852783203
"sp|P04004|VTNC_HUMAN"	1	0.999996116890614	9	835.464292526245117	1006.711978912353516	1282.767852783203125	1029.560050964355469	277.272870540618897	915.632537841796875	1232.116607666015625	438.085769653320313
"sp|P04114|APOB_HUMAN"	1	0.999659824995843	67	632.828800201416016	981.569480895996094	575.131624221801758	992.798103332519531	308.585041046142578	558.945442199707031	726.143447875976563	504.288888931274414
"sp|P04196|HRG_HUMAN"	1	0.999995147558892	9	126.634940505027771	123.843563079833984	83.669454574584961	59.099990844726563	123.582204818725586	204.988775253295899	218.652694702148438	135.591922760009766
"sp|P04217|A1BG_HUMAN"	1	0.999831050168871	11	394.451667785644531	601.528648376464844	737.698337554931641	645.486465454101563	216.899600982666016	185.544132232666016	276.406344413757324	159.444686889648438
"sp|P04264|K2C1_HUMAN"	1	0.999999925625733	14	109.241223335266113	51.296421051025391	404.445068359375	422.994890213012695	94.906536102294922	274.917617797851563	169.62910270690918	431.299064636230469
"sp|P04275|VWF_HUMAN"	1	0.972083981160831	9	0.0	22.353666305541992	28.161497116088867	10.732129096984863	8.384774208068848	49.661746978759766	33.017856597900391	23.087043762207031
"sp|P05154|IPSP_HUMAN"	1	0.979313330624338	5	0.0	0.0	19.02470588684082	15.715315818786621	0.0	0.0	0.0	0.0
"sp|P05155|IC1_HUMAN/tr|E9PGN7|E9PGN7_HUMAN/tr|H9KV48|H9KV48_HUMAN"	3	0.999969387997077	7	115.481037139892578	294.597504615783691	258.315010070800781	271.243415832519531	226.411214828491211	431.432472229003906	482.125778198242188	228.584747314453125
"sp|P05156|CFAI_HUMAN/tr|A0A2R8Y3M9|A0A2R8Y3M9_HUMAN/tr|E7ETH0|E7ETH0_HUMAN/tr|G3XAM2|G3XAM2_HUMAN"	4	0.998636115877461	4	0.0	37.344600677490234	61.5919189453125	25.756383895874024	0.0	0.0	82.028549194335938	0.0
"sp|P05546|HEP2_HUMAN"	1	0.996972433614802	8	84.989654541015625	82.326763153076172	71.288787841796875	0.0	67.390762329101563	54.548713684082031	211.038787841796875	40.418243408203125
"sp|P06727|APOA4_HUMAN"	1	0.998538307437756	16	360.309139251708984	845.916648864746094	329.354011535644531	433.742080688476563	87.157424926757813	218.419895172119141	219.826828002929688	127.347122192382813
"sp|P07225|PROS_HUMAN/tr|A0A0S2Z4L3|A0A0S2Z4L3_HUMAN/tr|A0A3B3ISJ1|A0A3B3ISJ1_HUMAN/tr|G5E9F8|G5E9F8_HUMAN"	4	0.999721977787502	6	109.048080444335938	189.383201599121094	137.08306884765625	181.367069244384766	11.982698440551758	17.05171012878418	175.753631591796875	60.650505065917969
"sp|P07357|CO8A_HUMAN"	1	0.955977941462607	9	31.854572296142578	54.058254241943359	45.418800354003906	44.718090057373047	1.93889594078064	13.605041027069092	8.478293418884277	7.519567966461182
"sp|P07358|CO8B_HUMAN/tr|F5GY80|F5GY80_HUMAN/tr|F5H7G1|F5H7G1_HUMAN"	3	0.999999987185216	7	5.170464992523193	15.624978542327881	23.675725936889649	12.878367424011231	12.600997924804688	46.846256256103516	24.508661270141602	34.189487457275391
"sp|P07360|CO8G_HUMAN"	1	0.990578855695827	3	7.911204814910889	24.494466781616211	0.0	0.0	0.0	0.0	0.0	0.0
"sp|P08603|CFAH_HUMAN"	1	0.999999989528731	21	151.289100646972656	474.167413711547852	329.729225158691406	283.765987396240234	117.047227144241333	239.987884521484375	293.454980850219727	266.683747291564941
"sp|P09871|C1S_HUMAN/tr|A0A087X232|A0A087X232_HUMAN/tr|F8WCZ6|F8WCZ6_HUMAN"	3	0.999942842226059	5	49.848056793212891	44.369903564453125	48.838363647460938	78.296905517578125	0.0	0.0	0.0	0.0
"sp|P10643|CO7_HUMAN"	1	0.999184781885037	5	68.113967895507813	117.181034088134766	132.890224456787109	63.460502624511719	38.954864501953125	19.517726898193359	84.294326782226563	80.25384521484375
"sp|P13645|K1C10_HUMAN"	1	0.999999974882508	10	216.191440582275391	183.20135498046875	170.650588989257813	644.130615234375	42.289474487304688	296.783355712890625	50.247926712036133	261.444986343383789
"sp|P13671|CO6_HUMAN"	1	0.999976146270875	10	40.992447853088379	101.616935729980469	107.702480316162109	29.554271697998047	11.026665687561035	91.020278930664063	105.26824951171875	30.989109039306641
"sp|P19823|ITIH2_HUMAN/tr|Q5T985|Q5T985_HUMAN"	2	0.999999999119282	13	299.79656982421875	353.158503532409668	372.761562347412109	509.342912673950195	156.642768859863281	262.193717956542969	363.2938232421875	227.428878784179688
"sp|P19827|ITIH1_HUMAN"	1	0.998780937581269	9	195.656171321868897	280.790840148925781	385.031802654266357	172.163883447647095	309.686967849731445	474.278812408447266	439.162200927734375	300.046371459960938
"sp|P25311|ZA2G_HUMAN"	1	0.992910224816884	7	180.275253295898438	170.416069030761719	77.433700561523438	83.735488891601563	26.712100982666016	279.82342529296875	20.665220260620117	258.349983215332031
"sp|P29622|KAIN_HUMAN"	1	0.849513348562872	3	23.591573715209961	47.775907039642334	23.430042266845703	0.0	12.911841988563538	35.211944580078125	20.361549377441406	0.0
"sp|P35527|K1C9_HUMAN"	1	0.999893279468177	10	113.99151611328125	213.537368774414063	123.438750743865967	694.524169921875	25.203502655029297	122.075965881347656	34.412677764892578	80.040985107421875
"sp|P43652|AFAM_HUMAN"	1	0.99452396128257	4	94.420936584472656	67.626449584960938	122.775810241699219	158.065624237060547	53.52630615234375	36.514202117919922	127.892219543457031	55.963901519775391
"sp|P51884|LUM_HUMAN"	1	0.839833923419512	4	17.819311141967774	42.781829833984375	16.820367813110352	27.113069534301758	0.0	0.0	0.0	0.0
"sp|Q06033|ITIH3_HUMAN/tr|A0A087WW43|A0A087WW43_HUMAN"	2	0.998615001796488	5	102.39678955078125	80.268295288085938	149.46148681640625	52.449905395507813	71.533803939819336	297.550426483154297	262.263282775878906	107.235435485839844
"sp|Q14520|HABP2_HUMAN"	1	0.95360253296334	4	0.0	0.0	0.0	0.0	15.104755401611328	21.912088394165039	24.658636093139649	9.059459686279297
"sp|Q14624|ITIH4_HUMAN"	1	0.997666351372972	16	338.428459167480469	259.904948234558106	354.504777908325195	302.496904373168945	84.701391220092774	179.604988098144531	299.0325927734375	151.886722564697266
"sp|Q96PD5|PGRP2_HUMAN"	1	0.995901790435637	3	10.851543426513672	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"tr|A0A0A0MS51|A0A0A0MS51_HUMAN/tr|A0A0A0MT01|A0A0A0MT01_HUMAN"	2	0.988730369467609	4	89.166547775268555	141.96453857421875	84.914863586425781	137.324264526367188	0.0	0.0	0.0	0.0
"tr|A0A0C4DGL8|A0A0C4DGL8_HUMAN/tr|H0Y300|H0Y300_HUMAN/tr|J3QR68|J3QR68_HUMAN"	3	0.999706714007122	23	3202.565029144287109	4078.48661994934082	7600.464000701904297	2829.237067222595215	5290.842716217041016	8241.162235260009766	1.299446801137924e04	6641.396024703979492
"tr|A0A0G2JIE7|A0A0G2JIE7_HUMAN/tr|A0A0G2JL69|A0A0G2JL69_HUMAN/tr|B4DQI1|B4DQI1_HUMAN/tr|H0Y3H6|H0Y3H6_HUMAN"	4	0.998120191308638	6	0.0	0.0	0.0	0.0	6.139898777008057	36.159893035888672	37.103542327880859	6.274013042449951
"tr|A0A3B3ISW8|A0A3B3ISW8_HUMAN/tr|E9PR14|E9PR14_HUMAN/tr|G3V1D9|G3V1D9_HUMAN"	3	0.987655122531699	3	24.18509578704834	34.564826965332031	165.864114761352539	6.796893119812012	18.096026420593262	47.290582656860352	106.668262481689453	19.046875
"tr|C9JC84|C9JC84_HUMAN/tr|C9JEU5|C9JEU5_HUMAN"	2	0.999672422849223	13	2034.508567810058594	2500.970682144165039	4493.909343719482422	2544.213493347167969	698.118477821350098	1149.222122192382813	1473.804580688476563	869.876825332641602
"tr|D6REL8|D6REL8_HUMAN"	1	0.999786410256223	21	4256.860527038574219	4059.666269302368164	7587.889156341552734	4428.25472354888916	3486.887576103210449	6217.153146743774414	9623.71953010559082	4504.871189117431641
"tr|E7ERK6|E7ERK6_HUMAN/tr|H0YLK8|H0YLK8_HUMAN"	2	0.97975452840893	7	78.418998718261719	88.360115051269531	179.648086547851563	161.289463043212891	36.030899047851563	92.89959716796875	165.281463623046875	93.285758972167969
"tr|S4R3Y4|S4R3Y4_HUMAN/tr|S4R471|S4R471_HUMAN"	2	0.964840905996517	4	139.072572708129883	76.587406158447266	88.248126983642578	97.165928840637207	80.583215713500977	150.616583347320557	34.984001159667969	0.0
